Extracting brief (governed maze)...
Brief: 351 tokens from lyra-content-brief.md

Dispatching 453 lessons | workers=5 | dry_run=False

  [1/453] 01-math-foundations/02-vectors-matrices-operations -> done | 0.0 req/s | ETA 489.3min | fail_rate=0%
  [230/453] 14-agent-engineering/10-skill-libraries-voyager -> done | 0.0 req/s | ETA 96.1min | fail_rate=10%
  [231/453] 14-agent-engineering/18-agno-and-mastra-runtimes -> done | 0.0 req/s | ETA 95.9min | fail_rate=10%
  [232/453] 14-agent-engineering/19-benchmarks-swebench-gaia -> done | 0.0 req/s | ETA 95.8min | fail_rate=10%
  [233/453] 14-agent-engineering/16-openai-agents-sdk -> done | 0.0 req/s | ETA 95.2min | fail_rate=10%
  [234/453] 14-agent-engineering/20-benchmarks-webarena-osworld -> done | 0.0 req/s | ETA 94.4min | fail_rate=10%
  [235/453] 14-agent-engineering/21-computer-use-agents -> done | 0.0 req/s | ETA 94.0min | fail_rate=10%
  [236/453] 14-agent-engineering/22-voice-agents-pipecat-livekit -> done | 0.0 req/s | ETA 94.1min | fail_rate=10%
  [237/453] 14-agent-engineering/23-otel-genai-conventions -> done | 0.0 req/s | ETA 93.6min | fail_rate=0%
  [238/453] 14-agent-engineering/24-agent-observability-platforms -> done | 0.0 req/s | ETA 92.8min | fail_rate=0%
  [239/453] 14-agent-engineering/26-failure-modes-agentic -> done | 0.0 req/s | ETA 92.8min | fail_rate=0%
  [240/453] 14-agent-engineering/27-prompt-injection-defense -> done | 0.0 req/s | ETA 92.8min | fail_rate=0%
  [241/453] 14-agent-engineering/28-orchestration-patterns -> done | 0.0 req/s | ETA 92.0min | fail_rate=0%
  [242/453] 14-agent-engineering/25-multi-agent-debate -> done | 0.0 req/s | ETA 91.4min | fail_rate=0%
  [243/453] 14-agent-engineering/29-production-runtimes -> done | 0.0 req/s | ETA 91.0min | fail_rate=0%
  [FAIL] 14-agent-engineering/17-claude-agent-sdk: Output too short (0 chars)
  [244/453] 14-agent-engineering/17-claude-agent-sdk -> failed | 0.0 req/s | ETA 90.2min | fail_rate=10%
  [245/453] 14-agent-engineering/31-agent-workbench-why-models-fail -> done | 0.0 req/s | ETA 90.4min | fail_rate=10%
  [246/453] 14-agent-engineering/32-minimal-agent-workbench -> done | 0.0 req/s | ETA 89.6min | fail_rate=10%
  [247/453] 14-agent-engineering/34-repo-memory-and-state -> done | 0.0 req/s | ETA 88.8min | fail_rate=10%
  [248/453] 14-agent-engineering/33-instructions-as-executable-constraints -> done | 0.0 req/s | ETA 88.4min | fail_rate=10%
  [249/453] 14-agent-engineering/36-scope-contracts -> done | 0.0 req/s | ETA 88.1min | fail_rate=10%
  [250/453] 14-agent-engineering/37-runtime-feedback-loops -> done | 0.0 req/s | ETA 87.4min | fail_rate=10%
  [251/453] 14-agent-engineering/35-initialization-scripts -> done | 0.0 req/s | ETA 87.1min | fail_rate=10%
  [252/453] 14-agent-engineering/39-reviewer-agent -> done | 0.0 req/s | ETA 86.6min | fail_rate=10%
  [253/453] 14-agent-engineering/38-verification-gates -> done | 0.0 req/s | ETA 85.9min | fail_rate=10%
  [254/453] 14-agent-engineering/40-multi-session-handoff -> done | 0.0 req/s | ETA 85.4min | fail_rate=0%
  [255/453] 14-agent-engineering/41-workbench-for-real-repos -> done | 0.0 req/s | ETA 85.4min | fail_rate=0%
  [256/453] 15-autonomous-systems/01-long-horizon-agents -> done | 0.0 req/s | ETA 84.9min | fail_rate=0%
  [257/453] 14-agent-engineering/42-agent-workbench-capstone -> done | 0.0 req/s | ETA 84.1min | fail_rate=0%
  [258/453] 14-agent-engineering/30-eval-driven-agent-development -> done | 0.0 req/s | ETA 83.8min | fail_rate=0%
  [259/453] 15-autonomous-systems/02-star-family-reasoning -> done | 0.0 req/s | ETA 83.6min | fail_rate=0%
  [260/453] 15-autonomous-systems/03-alphaevolve-evolutionary-coding -> done | 0.0 req/s | ETA 83.0min | fail_rate=0%
  [261/453] 15-autonomous-systems/06-automated-alignment-research -> done | 0.0 req/s | ETA 82.8min | fail_rate=0%
  [262/453] 15-autonomous-systems/07-recursive-self-improvement -> done | 0.0 req/s | ETA 82.3min | fail_rate=0%
  [263/453] 15-autonomous-systems/04-darwin-godel-machine -> done | 0.0 req/s | ETA 81.9min | fail_rate=0%
  [264/453] 15-autonomous-systems/05-ai-scientist-v2 -> done | 0.0 req/s | ETA 81.4min | fail_rate=0%
  [265/453] 15-autonomous-systems/09-coding-agent-landscape -> done | 0.0 req/s | ETA 81.1min | fail_rate=0%
  [266/453] 15-autonomous-systems/10-claude-code-permission-modes -> done | 0.0 req/s | ETA 80.5min | fail_rate=0%
  [267/453] 15-autonomous-systems/11-browser-agents -> done | 0.0 req/s | ETA 80.1min | fail_rate=0%
  [268/453] 15-autonomous-systems/12-durable-execution -> done | 0.0 req/s | ETA 79.5min | fail_rate=0%
  [269/453] 15-autonomous-systems/13-cost-governors -> done | 0.0 req/s | ETA 79.4min | fail_rate=0%
  [270/453] 15-autonomous-systems/14-kill-switches-canaries -> done | 0.0 req/s | ETA 78.7min | fail_rate=0%
  [271/453] 15-autonomous-systems/16-checkpoints-rollback -> done | 0.0 req/s | ETA 78.2min | fail_rate=0%
  [272/453] 15-autonomous-systems/15-propose-then-commit -> done | 0.0 req/s | ETA 77.7min | fail_rate=0%
  [273/453] 15-autonomous-systems/08-bounded-self-improvement -> done | 0.0 req/s | ETA 77.0min | fail_rate=0%
  [274/453] 15-autonomous-systems/19-anthropic-rsp -> done | 0.0 req/s | ETA 76.9min | fail_rate=0%
  [275/453] 15-autonomous-systems/18-llama-guard -> done | 0.0 req/s | ETA 76.3min | fail_rate=0%
  [276/453] 15-autonomous-systems/17-constitutional-ai -> done | 0.0 req/s | ETA 76.3min | fail_rate=0%
  [277/453] 15-autonomous-systems/22-cais-caisi-societal-risk -> done | 0.0 req/s | ETA 75.9min | fail_rate=0%
  [278/453] 16-multi-agent-and-swarms/01-why-multi-agent -> done | 0.0 req/s | ETA 75.2min | fail_rate=0%
  [279/453] 15-autonomous-systems/20-openai-preparedness-deepmind-fsf -> done | 0.0 req/s | ETA 74.9min | fail_rate=0%
  [280/453] 16-multi-agent-and-swarms/02-fipa-acl-heritage -> done | 0.0 req/s | ETA 74.5min | fail_rate=0%
  [281/453] 16-multi-agent-and-swarms/03-communication-protocols -> done | 0.0 req/s | ETA 74.2min | fail_rate=0%
  [282/453] 16-multi-agent-and-swarms/05-supervisor-orchestrator-pattern -> done | 0.0 req/s | ETA 73.8min | fail_rate=0%
  [283/453] 16-multi-agent-and-swarms/06-hierarchical-architecture -> done | 0.0 req/s | ETA 73.3min | fail_rate=0%
  [284/453] 15-autonomous-systems/21-metr-external-evaluation -> done | 0.0 req/s | ETA 72.6min | fail_rate=0%
  [285/453] 16-multi-agent-and-swarms/04-primitive-model -> done | 0.0 req/s | ETA 72.3min | fail_rate=0%
  [286/453] 16-multi-agent-and-swarms/07-society-of-mind-debate -> done | 0.0 req/s | ETA 71.9min | fail_rate=0%
  [287/453] 16-multi-agent-and-swarms/08-role-specialization -> done | 0.0 req/s | ETA 71.3min | fail_rate=0%
  [288/453] 16-multi-agent-and-swarms/09-parallel-swarm-networks -> done | 0.0 req/s | ETA 70.7min | fail_rate=0%
  [289/453] 16-multi-agent-and-swarms/10-group-chat-speaker-selection -> done | 0.0 req/s | ETA 70.2min | fail_rate=0%
  [290/453] 16-multi-agent-and-swarms/11-handoffs-and-routines -> done | 0.0 req/s | ETA 69.6min | fail_rate=0%
  [291/453] 16-multi-agent-and-swarms/12-a2a-protocol -> done | 0.0 req/s | ETA 69.4min | fail_rate=0%
  [292/453] 16-multi-agent-and-swarms/13-shared-memory-blackboard -> done | 0.0 req/s | ETA 68.9min | fail_rate=0%
  [293/453] 16-multi-agent-and-swarms/14-consensus-and-bft -> done | 0.0 req/s | ETA 68.3min | fail_rate=0%
  [294/453] 16-multi-agent-and-swarms/16-negotiation-bargaining -> done | 0.0 req/s | ETA 67.8min | fail_rate=0%
  [295/453] 16-multi-agent-and-swarms/15-voting-debate-topology -> done | 0.0 req/s | ETA 67.2min | fail_rate=0%
  [296/453] 16-multi-agent-and-swarms/19-swarm-optimization-pso-aco -> done | 0.0 req/s | ETA 67.3min | fail_rate=0%
  [297/453] 16-multi-agent-and-swarms/18-theory-of-mind-coordination -> done | 0.0 req/s | ETA 66.6min | fail_rate=0%
  [298/453] 16-multi-agent-and-swarms/21-agent-economies -> done | 0.0 req/s | ETA 66.1min | fail_rate=0%
  [299/453] 16-multi-agent-and-swarms/17-generative-agents-simulation -> done | 0.0 req/s | ETA 66.0min | fail_rate=0%
  [300/453] 16-multi-agent-and-swarms/22-production-scaling-queues-checkpoints -> done | 0.0 req/s | ETA 65.4min | fail_rate=0%
  [301/453] 16-multi-agent-and-swarms/23-failure-modes-mast-groupthink -> done | 0.0 req/s | ETA 64.9min | fail_rate=0%
  [302/453] 16-multi-agent-and-swarms/20-marl-maddpg-qmix-mappo -> done | 0.0 req/s | ETA 64.3min | fail_rate=0%
  [303/453] 16-multi-agent-and-swarms/25-case-studies-2026-sota -> done | 0.0 req/s | ETA 64.3min | fail_rate=0%
  [304/453] 17-infrastructure-and-production/02-inference-platform-economics -> done | 0.0 req/s | ETA 63.7min | fail_rate=0%
  [305/453] 16-multi-agent-and-swarms/24-evaluation-coordination-benchmarks -> done | 0.0 req/s | ETA 63.2min | fail_rate=0%
  [306/453] 17-infrastructure-and-production/03-gpu-autoscaling-kubernetes -> done | 0.0 req/s | ETA 62.6min | fail_rate=0%
  [307/453] 17-infrastructure-and-production/05-eagle3-speculative-decoding -> done | 0.0 req/s | ETA 62.4min | fail_rate=0%
  [308/453] 17-infrastructure-and-production/06-sglang-radixattention -> done | 0.0 req/s | ETA 62.0min | fail_rate=0%
  [309/453] 17-infrastructure-and-production/08-inference-metrics-goodput -> done | 0.0 req/s | ETA 61.5min | fail_rate=0%
  [310/453] 17-infrastructure-and-production/09-production-quantization -> done | 0.0 req/s | ETA 61.4min | fail_rate=0%
  [311/453] 17-infrastructure-and-production/10-cold-start-mitigation -> done | 0.0 req/s | ETA 60.9min | fail_rate=0%
  [312/453] 17-infrastructure-and-production/04-vllm-serving-internals -> done | 0.0 req/s | ETA 60.5min | fail_rate=0%
  [313/453] 17-infrastructure-and-production/12-edge-inference -> done | 0.0 req/s | ETA 60.4min | fail_rate=0%
  [314/453] 17-infrastructure-and-production/13-llm-observability -> done | 0.0 req/s | ETA 59.8min | fail_rate=0%
  [315/453] 17-infrastructure-and-production/11-multi-region-kv-locality -> done | 0.0 req/s | ETA 59.3min | fail_rate=0%
  [316/453] 17-infrastructure-and-production/07-tensorrt-llm-blackwell -> done | 0.0 req/s | ETA 58.7min | fail_rate=0%
  [317/453] 17-infrastructure-and-production/14-prompt-semantic-caching -> done | 0.0 req/s | ETA 58.2min | fail_rate=0%
  [318/453] 17-infrastructure-and-production/15-batch-apis -> done | 0.0 req/s | ETA 58.0min | fail_rate=0%
  [319/453] 17-infrastructure-and-production/19-ai-gateways -> done | 0.0 req/s | ETA 57.5min | fail_rate=0%
  [320/453] 17-infrastructure-and-production/16-model-routing -> done | 0.0 req/s | ETA 56.9min | fail_rate=0%
  [321/453] 17-infrastructure-and-production/20-shadow-canary-progressive -> done | 0.0 req/s | ETA 56.8min | fail_rate=0%
  [322/453] 17-infrastructure-and-production/22-load-testing-llm-apis -> done | 0.0 req/s | ETA 56.4min | fail_rate=0%
  [323/453] 17-infrastructure-and-production/21-ab-testing-llm-features -> done | 0.0 req/s | ETA 55.8min | fail_rate=0%
  [324/453] 17-infrastructure-and-production/17-disaggregated-prefill-decode -> done | 0.0 req/s | ETA 55.2min | fail_rate=0%
  [325/453] 17-infrastructure-and-production/18-vllm-production-stack-lmcache -> done | 0.0 req/s | ETA 54.7min | fail_rate=0%
  [326/453] 17-infrastructure-and-production/23-sre-for-ai -> done | 0.0 req/s | ETA 54.5min | fail_rate=0%
  [327/453] 17-infrastructure-and-production/24-chaos-engineering-llm -> done | 0.0 req/s | ETA 54.0min | fail_rate=0%
  [328/453] 17-infrastructure-and-production/29-mlflow-experiment-tracking -> done | 0.0 req/s | ETA 53.9min | fail_rate=0%
  [329/453] 17-infrastructure-and-production/25-security-secrets-audit -> done | 0.0 req/s | ETA 53.4min | fail_rate=0%
  [330/453] 17-infrastructure-and-production/26-compliance-frameworks -> done | 0.0 req/s | ETA 52.9min | fail_rate=0%
  [331/453] 17-infrastructure-and-production/27-finops-llms -> done | 0.0 req/s | ETA 52.4min | fail_rate=0%
  [332/453] 17-infrastructure-and-production/30-containerizing-ml-code -> done | 0.0 req/s | ETA 51.9min | fail_rate=0%
  [333/453] 17-infrastructure-and-production/31-dvc-data-versioning -> done | 0.0 req/s | ETA 51.5min | fail_rate=0%
  [334/453] 17-infrastructure-and-production/28-self-hosted-serving-selection -> done | 0.0 req/s | ETA 51.1min | fail_rate=0%
  [335/453] 18-ethics-safety-alignment/01-instruction-following-alignment-signal -> done | 0.0 req/s | ETA 50.6min | fail_rate=0%
  [336/453] 18-ethics-safety-alignment/04-sycophancy-rlhf-amplification -> done | 0.0 req/s | ETA 50.3min | fail_rate=0%
  [337/453] 18-ethics-safety-alignment/06-mesa-optimization-deceptive-alignment -> done | 0.0 req/s | ETA 49.9min | fail_rate=0%
  [338/453] 18-ethics-safety-alignment/05-constitutional-ai-rlaif -> done | 0.0 req/s | ETA 49.5min | fail_rate=0%
  [339/453] 18-ethics-safety-alignment/02-reward-hacking-goodhart -> done | 0.0 req/s | ETA 49.1min | fail_rate=0%
  [340/453] 18-ethics-safety-alignment/08-in-context-scheming-frontier-models -> done | 0.0 req/s | ETA 48.8min | fail_rate=0%
  [341/453] 18-ethics-safety-alignment/10-ai-control-subversion -> done | 0.0 req/s | ETA 48.3min | fail_rate=0%
  [342/453] 18-ethics-safety-alignment/09-alignment-faking -> done | 0.0 req/s | ETA 47.8min | fail_rate=0%
  [343/453] 18-ethics-safety-alignment/07-sleeper-agents-persistent-deception -> done | 0.0 req/s | ETA 47.3min | fail_rate=0%
  [344/453] 18-ethics-safety-alignment/13-many-shot-jailbreaking -> done | 0.0 req/s | ETA 47.1min | fail_rate=0%
  [345/453] 18-ethics-safety-alignment/12-red-teaming-pair-automated-attacks -> done | 0.0 req/s | ETA 46.5min | fail_rate=0%
  [346/453] 18-ethics-safety-alignment/14-ascii-art-visual-jailbreaks -> done | 0.0 req/s | ETA 46.0min | fail_rate=0%
  [347/453] 18-ethics-safety-alignment/03-direct-preference-optimization-family -> done | 0.0 req/s | ETA 45.6min | fail_rate=0%
  [348/453] 18-ethics-safety-alignment/17-wmdp-dual-use-evaluation -> done | 0.0 req/s | ETA 45.4min | fail_rate=0%
  [349/453] 18-ethics-safety-alignment/11-scalable-oversight-weak-to-strong -> done | 0.0 req/s | ETA 44.8min | fail_rate=0%
  [350/453] 18-ethics-safety-alignment/15-indirect-prompt-injection -> done | 0.0 req/s | ETA 44.3min | fail_rate=0%
  [351/453] 18-ethics-safety-alignment/18-frontier-safety-frameworks-rsp-pf-fsf -> done | 0.0 req/s | ETA 43.8min | fail_rate=0%
  [352/453] 18-ethics-safety-alignment/21-fairness-criteria-group-individual-counterfactual -> done | 0.0 req/s | ETA 43.6min | fail_rate=0%
  [353/453] 18-ethics-safety-alignment/19-model-welfare-research -> done | 0.0 req/s | ETA 43.1min | fail_rate=0%
  [354/453] 18-ethics-safety-alignment/20-bias-representational-harm -> done | 0.0 req/s | ETA 42.6min | fail_rate=0%
  [355/453] 18-ethics-safety-alignment/23-watermarking-synthid-stable-signature-c2pa -> done | 0.0 req/s | ETA 42.4min | fail_rate=0%
  [356/453] 18-ethics-safety-alignment/24-regulatory-frameworks-eu-us-uk-korea -> done | 0.0 req/s | ETA 41.9min | fail_rate=0%
  [357/453] 18-ethics-safety-alignment/25-echoleak-cves-for-ai -> done | 0.0 req/s | ETA 41.5min | fail_rate=0%
  [358/453] 18-ethics-safety-alignment/22-differential-privacy-for-llms -> done | 0.0 req/s | ETA 41.0min | fail_rate=0%
  [359/453] 18-ethics-safety-alignment/16-red-team-tooling-garak-llamaguard-pyrit -> done | 0.0 req/s | ETA 40.5min | fail_rate=0%
  [360/453] 18-ethics-safety-alignment/26-model-system-dataset-cards -> done | 0.0 req/s | ETA 40.1min | fail_rate=0%
  [361/453] 18-ethics-safety-alignment/27-data-provenance-training-governance -> done | 0.0 req/s | ETA 39.6min | fail_rate=0%
  [362/453] 18-ethics-safety-alignment/29-moderation-systems-openai-perspective-llamaguard -> done | 0.0 req/s | ETA 39.2min | fail_rate=0%
  [363/453] 18-ethics-safety-alignment/28-alignment-research-ecosystem -> done | 0.0 req/s | ETA 38.7min | fail_rate=0%
  [364/453] 18-ethics-safety-alignment/30-dual-use-risk-cyber-bio-chem-nuclear -> done | 0.0 req/s | ETA 38.2min | fail_rate=0%
  [365/453] 19-capstone-projects/01-terminal-native-coding-agent -> done | 0.0 req/s | ETA 37.8min | fail_rate=0%
  [366/453] 19-capstone-projects/02-rag-over-codebase -> done | 0.0 req/s | ETA 37.4min | fail_rate=0%
  [367/453] 19-capstone-projects/03-realtime-voice-assistant -> done | 0.0 req/s | ETA 37.0min | fail_rate=0%
  [368/453] 19-capstone-projects/04-multimodal-document-qa -> done | 0.0 req/s | ETA 36.5min | fail_rate=0%
  [369/453] 19-capstone-projects/05-autonomous-research-agent -> done | 0.0 req/s | ETA 36.0min | fail_rate=0%
  [370/453] 19-capstone-projects/07-end-to-end-fine-tuning-pipeline -> done | 0.0 req/s | ETA 35.7min | fail_rate=0%
  [371/453] 19-capstone-projects/09-code-migration-agent -> done | 0.0 req/s | ETA 35.2min | fail_rate=0%
  [372/453] 19-capstone-projects/08-production-rag-chatbot -> done | 0.0 req/s | ETA 34.7min | fail_rate=0%
  [373/453] 19-capstone-projects/10-multi-agent-software-team -> done | 0.0 req/s | ETA 34.3min | fail_rate=0%
  [374/453] 19-capstone-projects/12-video-understanding-pipeline -> done | 0.0 req/s | ETA 34.0min | fail_rate=0%
  [375/453] 19-capstone-projects/14-speculative-decoding-server -> done | 0.0 req/s | ETA 33.7min | fail_rate=0%
  [376/453] 19-capstone-projects/11-llm-observability-dashboard -> done | 0.0 req/s | ETA 33.3min | fail_rate=0%
  [377/453] 19-capstone-projects/15-constitutional-safety-harness -> done | 0.0 req/s | ETA 32.9min | fail_rate=0%
  [378/453] 19-capstone-projects/16-github-issue-to-pr-agent -> done | 0.0 req/s | ETA 32.4min | fail_rate=0%
  [379/453] 19-capstone-projects/06-devops-troubleshooting-agent -> done | 0.0 req/s | ETA 32.0min | fail_rate=0%
  [380/453] 19-capstone-projects/17-personal-ai-tutor -> done | 0.0 req/s | ETA 31.6min | fail_rate=0%
  [381/453] 19-capstone-projects/20-agent-harness-loop-contract -> done | 0.0 req/s | ETA 31.1min | fail_rate=0%
  [382/453] 19-capstone-projects/13-mcp-server-with-registry -> done | 0.0 req/s | ETA 30.6min | fail_rate=0%
  [383/453] 19-capstone-projects/22-jsonrpc-stdio-transport -> done | 0.0 req/s | ETA 30.3min | fail_rate=0%
  [384/453] 19-capstone-projects/23-function-call-dispatcher -> done | 0.0 req/s | ETA 29.8min | fail_rate=0%
  [385/453] 19-capstone-projects/25-verification-gates-observation-budget -> done | 0.0 req/s | ETA 29.4min | fail_rate=0%
  [386/453] 19-capstone-projects/21-tool-registry-schema-validation -> done | 0.0 req/s | ETA 28.9min | fail_rate=0%
  [387/453] 19-capstone-projects/24-plan-execute-control-flow -> done | 0.0 req/s | ETA 28.6min | fail_rate=0%
  [388/453] 19-capstone-projects/26-sandbox-runner-denylist -> done | 0.0 req/s | ETA 28.3min | fail_rate=0%
  [389/453] 19-capstone-projects/27-eval-harness-fixture-tasks -> done | 0.0 req/s | ETA 27.8min | fail_rate=0%
  [390/453] 19-capstone-projects/28-observability-otel-traces -> done | 0.0 req/s | ETA 27.3min | fail_rate=0%
  [391/453] 19-capstone-projects/30-bpe-tokenizer-from-scratch -> done | 0.0 req/s | ETA 26.8min | fail_rate=0%
  [392/453] 19-capstone-projects/31-tokenized-dataset-sliding-window -> done | 0.0 req/s | ETA 26.4min | fail_rate=0%
  [393/453] 19-capstone-projects/32-token-positional-embeddings -> done | 0.0 req/s | ETA 25.9min | fail_rate=0%
  [394/453] 19-capstone-projects/29-end-to-end-coding-task-demo -> done | 0.0 req/s | ETA 25.5min | fail_rate=0%
  [395/453] 19-capstone-projects/33-multihead-self-attention -> done | 0.0 req/s | ETA 25.1min | fail_rate=0%
  [396/453] 19-capstone-projects/34-transformer-block -> done | 0.0 req/s | ETA 24.6min | fail_rate=0%
  [397/453] 19-capstone-projects/35-gpt-model-assembly -> done | 0.0 req/s | ETA 24.1min | fail_rate=0%
  [398/453] 19-capstone-projects/37-loading-pretrained-weights -> done | 0.0 req/s | ETA 23.7min | fail_rate=0%
  [399/453] 19-capstone-projects/36-training-loop-eval -> done | 0.0 req/s | ETA 23.2min | fail_rate=0%
  [400/453] 19-capstone-projects/38-classifier-finetuning -> done | 0.0 req/s | ETA 22.9min | fail_rate=0%
  [401/453] 19-capstone-projects/40-dpo-from-scratch -> done | 0.0 req/s | ETA 22.4min | fail_rate=0%
  [402/453] 19-capstone-projects/39-instruction-tuning-sft -> done | 0.0 req/s | ETA 21.9min | fail_rate=0%
  [403/453] 19-capstone-projects/41-eval-pipeline -> done | 0.0 req/s | ETA 21.5min | fail_rate=0%
  [404/453] 19-capstone-projects/42-large-corpus-downloader -> done | 0.0 req/s | ETA 21.0min | fail_rate=0%
  [405/453] 19-capstone-projects/44-cosine-lr-warmup -> done | 0.0 req/s | ETA 20.6min | fail_rate=0%
  [406/453] 19-capstone-projects/45-gradient-clipping-amp -> done | 0.0 req/s | ETA 20.2min | fail_rate=0%
  [407/453] 19-capstone-projects/46-gradient-accumulation -> done | 0.0 req/s | ETA 19.7min | fail_rate=0%
  [408/453] 19-capstone-projects/47-checkpoint-save-resume -> done | 0.0 req/s | ETA 19.3min | fail_rate=0%
  [409/453] 19-capstone-projects/48-distributed-fsdp-ddp -> done | 0.0 req/s | ETA 18.9min | fail_rate=0%
  [410/453] 19-capstone-projects/43-hdf5-tokenized-corpus -> done | 0.0 req/s | ETA 18.5min | fail_rate=0%
  [411/453] 19-capstone-projects/49-lm-eval-harness -> done | 0.0 req/s | ETA 18.0min | fail_rate=0%
  [412/453] 19-capstone-projects/52-experiment-runner -> done | 0.0 req/s | ETA 17.6min | fail_rate=0%
  [413/453] 19-capstone-projects/54-paper-writer -> done | 0.0 req/s | ETA 17.2min | fail_rate=0%
  [414/453] 19-capstone-projects/51-literature-retrieval -> done | 0.0 req/s | ETA 16.7min | fail_rate=0%
  [415/453] 19-capstone-projects/53-result-evaluator -> done | 0.0 req/s | ETA 16.3min | fail_rate=0%
  [416/453] 19-capstone-projects/56-iteration-scheduler -> done | 0.0 req/s | ETA 15.9min | fail_rate=0%
  [417/453] 19-capstone-projects/57-end-to-end-research-demo -> done | 0.0 req/s | ETA 15.5min | fail_rate=0%
  [418/453] 19-capstone-projects/55-critic-loop -> done | 0.0 req/s | ETA 15.0min | fail_rate=0%
  [419/453] 19-capstone-projects/58-vision-encoder-patches -> done | 0.0 req/s | ETA 14.6min | fail_rate=0%
  [420/453] 19-capstone-projects/50-hypothesis-generator -> done | 0.0 req/s | ETA 14.2min | fail_rate=0%
  [421/453] 19-capstone-projects/60-projection-layer-modality-align -> done | 0.0 req/s | ETA 13.7min | fail_rate=0%
  [422/453] 19-capstone-projects/59-vit-transformer -> done | 0.0 req/s | ETA 13.3min | fail_rate=0%
  [423/453] 19-capstone-projects/61-cross-attention-fusion -> done | 0.0 req/s | ETA 12.8min | fail_rate=0%
  [424/453] 19-capstone-projects/63-multimodal-eval -> done | 0.0 req/s | ETA 12.4min | fail_rate=0%
  [425/453] 19-capstone-projects/66-reranker-cross-encoder -> done | 0.0 req/s | ETA 12.0min | fail_rate=0%
  [426/453] 19-capstone-projects/64-chunking-strategies-advanced -> done | 0.0 req/s | ETA 11.5min | fail_rate=0%
  [427/453] 19-capstone-projects/68-rag-eval-precision-recall -> done | 0.0 req/s | ETA 11.2min | fail_rate=0%
  [428/453] 19-capstone-projects/67-query-rewriting-hyde -> done | 0.0 req/s | ETA 10.7min | fail_rate=0%
  [429/453] 19-capstone-projects/69-end-to-end-rag-system -> done | 0.0 req/s | ETA 10.3min | fail_rate=0%
  [430/453] 19-capstone-projects/65-hybrid-retrieval-bm25-dense -> done | 0.0 req/s | ETA 9.9min | fail_rate=0%
  [431/453] 19-capstone-projects/71-classical-metrics -> done | 0.0 req/s | ETA 9.4min | fail_rate=0%
  [432/453] 19-capstone-projects/70-task-spec-format -> done | 0.0 req/s | ETA 9.0min | fail_rate=0%
  [433/453] 19-capstone-projects/72-code-exec-metric -> done | 0.0 req/s | ETA 8.6min | fail_rate=0%
  [434/453] 19-capstone-projects/73-perplexity-calibration -> done | 0.0 req/s | ETA 8.1min | fail_rate=0%
  [435/453] 19-capstone-projects/62-vision-language-pretraining -> done | 0.0 req/s | ETA 7.7min | fail_rate=0%
  [436/453] 19-capstone-projects/76-collective-ops-from-scratch -> done | 0.0 req/s | ETA 7.3min | fail_rate=0%
  [437/453] 19-capstone-projects/77-data-parallel-ddp -> done | 0.0 req/s | ETA 6.9min | fail_rate=0%
  [438/453] 19-capstone-projects/74-leaderboard-aggregation -> done | 0.0 req/s | ETA 6.5min | fail_rate=0%
  [439/453] 19-capstone-projects/75-end-to-end-eval-runner -> done | 0.0 req/s | ETA 6.0min | fail_rate=0%
  [440/453] 19-capstone-projects/78-zero-parameter-sharding -> done | 0.0 req/s | ETA 5.6min | fail_rate=0%
  [441/453] 19-capstone-projects/80-checkpoint-sharded-resume -> done | 0.0 req/s | ETA 5.2min | fail_rate=0%
  [442/453] 19-capstone-projects/81-end-to-end-distributed-train -> done | 0.0 req/s | ETA 4.7min | fail_rate=0%
  [443/453] 19-capstone-projects/79-pipeline-parallel -> done | 0.0 req/s | ETA 4.3min | fail_rate=0%
  [444/453] 19-capstone-projects/83-prompt-injection-detector -> done | 0.0 req/s | ETA 3.9min | fail_rate=0%
  [445/453] 19-capstone-projects/82-jailbreak-taxonomy -> done | 0.0 req/s | ETA 3.4min | fail_rate=0%
  [446/453] 19-capstone-projects/84-refusal-evaluation -> done | 0.0 req/s | ETA 3.0min | fail_rate=0%
  [447/453] 19-capstone-projects/85-content-classifier-integration -> done | 0.0 req/s | ETA 2.6min | fail_rate=0%
  [448/453] 19-capstone-projects/87-end-to-end-safety-gate -> done | 0.0 req/s | ETA 2.1min | fail_rate=0%
  [449/453] mlops/01-experiment-tracking -> done | 0.0 req/s | ETA 1.7min | fail_rate=0%
  [450/453] mlops/02-data-versioning -> done | 0.0 req/s | ETA 1.3min | fail_rate=0%
  [451/453] 19-capstone-projects/86-constitutional-rules-engine -> done | 0.0 req/s | ETA 0.9min | fail_rate=0%
  [452/453] mlops/04-retraining-pipelines -> done | 0.0 req/s | ETA 0.4min | fail_rate=0%
  [453/453] mlops/03-drift-monitoring -> done | 0.0 req/s | ETA 0.0min | fail_rate=0%

-- Summary ----------------------------------
  Done:   447
  Failed: 6
  Total:  453 in 193.9min

  Re-run failed: python3 C:\Users\raymo\GitHub\blueskygtm-engineering\skills\operator-kit\dispatch-stage02.py --retry-failed
